Time[yr],single_sup_earth_3.0au,single_sup_earth_5.0au,single_nep_3.0au,single_nep_5.0au,single_nep_7.0au,single_nep_10.0au,single_sat_3.0au,single_sat_5.0au,single_sat_7.0au,single_sat_10.0au,single_jup_3.0au,single_jup_5.0au,single_jup_7.0au,single_jup_10.0au,single_sup_jup_3.0au,single_sup_jup_5.0au,single_sup_jup_7.0au,single_sup_jup_10.0au
959793.8653983788,0.0010839495052010033,,0.0010713446415352088,0.0010845820276639308,0.0010863569297527714,0.0010884343845428517,0.0003421966298942456,0.0005459521554248298,0.0005973619602115347,0.0006662066386667956,4.728145401232571e-05,0.0018850924491373225,,0.0004597369345842022,2.4534759914020265e-06,0.00014469593738234213,0.00031117224998862894,0.00038544717002417066
1152979.3501972682,0.0017122673184815883,,0.0017127539977698572,0.0017252905633742786,0.0017220682414849121,0.0017250267522430154,0.0005439750440800924,0.0009032147751087544,0.0009763644137629392,0.0010897771293921915,6.515107187180826e-05,0.003087703331989773,,0.000716819831149183,2.983549713351033e-06,0.00022206042160612637,0.00047778280901774467,0.0005831200890289035
1385048.8421589755,0.0015914433319547117,,0.0016110878447138863,0.0016091114842782459,0.0016036236703650952,0.0016053247555820882,0.0006087031730343216,0.0010107504076341967,0.0010889117314253904,0.0012114297258380563,7.121992387375611e-05,0.0034435037772387878,,0.0008194310600884575,3.3081980579888898e-06,0.0002422223569737668,0.0005275287607231383,0.0006571938616255091
1663828.8403323945,0.0021839125065600887,,0.0022155135253918296,0.002211536460721031,0.0022036285263403593,0.002206232642266402,0.0011352942590177467,0.0019706498965109363,0.0021014035089940673,0.0023174908399805558,0.00010541345574937959,0.005843351392382262,,0.0012552293830027199,4.148943215195877e-06,0.0003668244111136969,0.000789461168875568,0.0009508784180407848
1998721.1466179462,0.003172711691922528,,0.003288369138197647,0.00322984599091667,0.0032106811647057074,0.0032137273536326436,0.0025680884029288704,0.004693835066421289,0.005041419087485982,0.00555114732103601,0.0001702803327332577,0.010258720420271317,,0.001910385089294843,5.685859859409434e-06,0.0005451656432554439,0.0011598508286332927,0.0013441211622270653
2401019.9397310987,0.003839830727417337,,0.003977372185666642,0.0006631358360220246,0.003891582752292587,0.0038951824735338064,0.004592765990112949,0.009018923685679008,0.009787547132491872,0.010797052812316417,0.00022745895186637548,0.0024716495116123283,,0.002418076323892203,7.746075942597144e-06,0.0006611426633520625,0.001398570724824081,0.0015833710100600605
2884292.6692105965,0.0009230038586228589,,0.0009300831690954858,0.0008776411570033879,0.0009366212122386419,0.0009366824357038145,0.014277186434023616,0.031732463293694814,0.03616412903867122,0.04098518724064776,0.0004025859409498792,0.003884777574562334,,0.0033730995713535765,1.3332263650744913e-05,0.0008999325001476637,0.0018435815966393425,0.0018108124991485057
3464837.6150485743,0.0011132963483496544,,0.0011066962832845598,0.0010581252863351778,0.0011313158703133777,0.0011308425954294973,0.09608262001208033,0.04690500125011535,0.0600573330491916,0.07401207606297536,0.0009917235802535777,,,0.0007886309720894803,2.6580196777797188e-05,0.0012631677650446222,0.002355258532580829,0.00026354238707828465
4162233.544053341,0.0011728783081884422,,0.0011348493612809013,0.00111300221706951,0.0011938103793488336,0.001192053477516622,0.09469733416441897,0.12969101207737263,0.17493067309831056,0.22262111917015823,0.001789095004977816,,,0.0006258930144775569,3.8342481262269856e-05,0.0013564488878450888,0.0003362667485702041,0.00010231800247450032
4999999.999999999,0.0010535950068320046,,0.0009552267848928556,0.0009968356373257908,0.0010659648820329354,0.0010644260201770547,0.11239259678448801,0.19192672851237222,0.26853649948038777,0.34852499530707226,0.0017375688610132192,,,0.0002483029721490407,3.509424130608216e-05,0.0009320770853217496,0.0001388656919991578,6.166050787133337e-05
