run_name,v_frag,scenario,alpha,M_emb0,r_gap,M_gap,n_gaps,amp_val,M_final,M_prev,T_final_Myr,M_iso_E,R_variation,frac_h2o_percent,Is_Valid,Discard_Reason,Cat_Masa,Cat_Agua
run_r10.0_m3.0_a0.0001,10,general,0.0001,0.1,10.0,3.0,0,0.0,1.3225548633242517,1.3225548337079251,10.0,3.9554729419867884,2.239326875854087e-08,0.0002974882403182462,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r10.0_m5.0_a0.0001,10,general,0.0001,0.1,10.0,5.0,0,0.0,1.0829385712635191,1.0829384261745032,10.0,3.9554729419867884,1.3397714308339767e-07,0.00036854682502392177,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r15.0_m0.01_a0.0001,10,general,0.0001,0.1,15.0,0.01,0,0.0,3.9554729419867884,2.0039223191079367,0.17073526474706888,3.9554729419867884,0.49337984395327716,0.0,True,,Isolation Mass,0% Agua
run_r15.0_m0.1_a0.0001,10,general,0.0001,0.1,15.0,0.1,0,0.0,3.9554729419867884,2.814288507795122,0.19179102616724886,3.9554729419867884,0.28850770841538426,0.0,True,,Isolation Mass,0% Agua
run_r15.0_m0.3_a0.0001,10,general,0.0001,0.1,15.0,0.3,0,0.0,3.9554729419867884,3.7012091286639754,0.21544346900318867,3.9554729419867884,0.06428152007408228,0.0,True,,Isolation Mass,0% Agua
run_r15.0_m0.5_a0.0001,10,general,0.0001,0.1,15.0,0.5,0,0.0,3.9554729419867884,3.290286217578033,0.21544346900318867,3.9554729419867884,0.16816869541639182,0.0,True,,Isolation Mass,0% Agua
run_r15.0_m1.0_a0.0001,10,general,0.0001,0.1,15.0,1.0,0,0.0,3.9554729419867884,3.68904863596141,0.24201282647943834,3.9554729419867884,0.06735586614620014,0.0,True,,Isolation Mass,0% Agua
run_r15.0_m3.0_a0.0001,10,general,0.0001,0.1,15.0,3.0,0,0.0,3.8228964470868005,3.8228964006475015,10.0,3.9554729419867884,1.2147673816348175e-08,0.0006800215881625367,True,,Isolation Mass,Mundos Áridos
run_r15.0_m5.0_a0.0001,10,general,0.0001,0.1,15.0,5.0,0,0.0,2.7434101107331847,2.7434100947469022,10.0,3.9554729419867884,5.8271573970771966e-09,0.0013999287025766062,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r20.0_m0.01_a0.0001,10,general,0.0001,0.1,20.0,0.01,0,0.0,3.9554729419867884,2.005843554581972,0.17073526474706888,3.9554729419867884,0.4928941282115155,0.0,True,,Isolation Mass,0% Agua
